N,City,State,Name,Address,Type,Food,Tourist Attraction,Museum,Park,Shopping,Entertainment,Accommodation,Government,Rating,Total Ratings,Status,Latitude,Longitude,Open Now,Price Level,Website,Local Phone,International Phone,Permanently Closed,Place ID,Viewport,Icon URL
39,New York City,New York,The Central Park Boathouse,"Park Drive North, East 72nd Street, New York","Tourist Attraction, Bar, Restaurant, Food, Point Of Interest, Establishment",1,1,0,0,0,0,0,0,4.3,3892,OPERATIONAL,40.7752927,-73.9687693,0,3,No data,No data,No data,0,ChIJm17AB5pYwokRWLJ6lEtXKOA,"{'northeast': {'lat': 40.77708690000001, 'lng': -73.96610950000002}, 'southwest': {'lat': 40.7710061, 'lng': -73.96965589999998}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
40,New York City,New York,Madison Square Park,"11 Madison Avenue, New York","Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.6,19263,OPERATIONAL,40.7421951,-73.9879992,0,No data,No data,No data,No data,0,ChIJp32RvaZZwokRfH0Zgzl9mXk,"{'northeast': {'lat': 40.74466585, 'lng': -73.9854885}, 'southwest': {'lat': 40.73968284999999, 'lng': -73.9903049}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
41,New York City,New York,The Theater at Madison Square Garden,"4 Pennsylvania Plaza, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,3010,OPERATIONAL,40.7504771,-73.9933101,0,No data,No data,No data,No data,0,ChIJJXfoP65ZwokRPY3oaITdpew,"{'northeast': {'lat': 40.7515281302915, 'lng': -73.9921864697085}, 'southwest': {'lat': 40.7488301697085, 'lng': -73.9948844302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
42,New York City,New York,Circle Line Sightseeing Cruises,"83 North River Piers West 43rd Street and, 12th Avenue, New York","Tourist Attraction, Travel Agency, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,12749,OPERATIONAL,40.7628574,-74.0015034,0,No data,No data,No data,No data,0,ChIJNfIGsapZwokR6wmdPMZEBbU,"{'northeast': {'lat': 40.7641372302915, 'lng': -74.00008471970848}, 'southwest': {'lat': 40.7614392697085, 'lng': -74.0027826802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
43,New York City,New York,Brooklyn Botanic Garden,Brooklyn,"Tourist Attraction, Park, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.7,12603,OPERATIONAL,40.6685798,-73.9644696,0,No data,No data,No data,No data,0,ChIJwYu_aA5bwokR2lxjW-QvQlc,"{'northeast': {'lat': 40.67646064999998, 'lng': -73.96091625000001}, 'southwest': {'lat': 40.65908444999999, 'lng': -73.96618765000001}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
44,New York City,New York,New York City Hall,"City Hall Park, New York","City Hall, Tourist Attraction, Local Government Office, Point Of Interest, Establishment",0,1,0,0,0,0,0,1,4.3,1047,OPERATIONAL,40.7127744,-74.006059,0,No data,No data,No data,No data,0,ChIJs--MqP1YwokRBwAhjXWIHn8,"{'northeast': {'lat': 40.7142594302915, 'lng': -74.0052383697085}, 'southwest': {'lat': 40.7115614697085, 'lng': -74.0079363302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png
45,New York City,New York,Central Park,New York,"Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.8,269713,OPERATIONAL,40.7825547,-73.9655834,0,No data,No data,No data,No data,0,ChIJ4zGFAZpYwokRGUGph3Mf37k,"{'northeast': {'lat': 40.81829345, 'lng': -73.93336579999999}, 'southwest': {'lat': 40.74649685000001, 'lng': -73.998809}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
46,New York City,New York,United Nations Headquarters,"405 East 45th Street, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,13209,OPERATIONAL,40.7493281,-73.9679241,0,No data,No data,No data,No data,0,ChIJEU2H4BxZwokRNfY93Yvi-sU,"{'northeast': {'lat': 40.75171745000001, 'lng': -73.96715034999997}, 'southwest': {'lat': 40.74838524999999, 'lng': -73.97024535000003}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
47,New York City,New York,Trinity Church,"89 Broadway, New York","Tourist Attraction, Church, Place Of Worship, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.6,5702,OPERATIONAL,40.7078931,-74.0117901,0,No data,No data,No data,No data,0,ChIJbVfZzhBawokRnmCT-muojBA,"{'northeast': {'lat': 40.70920348029149, 'lng': -74.01037281970851}, 'southwest': {'lat': 40.70650551970849, 'lng': -74.01307078029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png
48,New York City,New York,The Tour at NBC Studios,"30 Rockefeller Plaza, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.6,966,OPERATIONAL,40.7593651,-73.9800979,0,No data,No data,No data,No data,0,ChIJl61Ywf5YwokRWtmFUFfO_ms,"{'northeast': {'lat': 40.7605000802915, 'lng': -73.97862621970849}, 'southwest': {'lat': 40.7578021197085, 'lng': -73.9813241802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
